congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
113,House,21150,34,7,MO,200,0.0,1.0,"LONG, Billy",L000576,1955.0,,0.567,0.33,-99.81801,0.90686,1021.0,33.0,1.0
113,House,21337,34,2,MO,200,0.0,1.0,"WAGNER, Ann",W000812,1962.0,,0.458,0.218,-89.4929,0.91407,996.0,29.0,1.0
113,House,21373,34,8,MO,200,2.0,2.0,"SMITH, Jason",S001195,1980.0,,0.605,0.169,-80.86806,0.91085,866.0,38.0,1.0
113,House,29736,34,8,MO,200,1.0,1.0,"EMERSON, Jo Ann",E000172,1950.0,,0.269,0.274,,,,,
113,House,21338,64,1,MT,200,0.0,1.0,"DAINES, Steve",D000618,1962.0,,0.529,-0.017,-134.2375,0.87578,1012.0,56.0,1.0
113,House,20518,35,1,NE,200,0.0,1.0,"FORTENBERRY, Jeff",F000449,1960.0,,0.301,-0.072,-152.47971,0.85725,990.0,60.0,1.0
113,House,20729,35,3,NE,200,0.0,1.0,"SMITH, Adrian",S001172,1970.0,,0.508,0.188,-90.61742,0.91427,1011.0,31.0,1.0
113,House,29921,35,2,NE,200,0.0,1.0,"TERRY, Lee Raymond",T000459,1962.0,,0.426,-0.067,-181.53878,0.836,1015.0,94.0,
113,House,20927,65,1,NV,100,0.0,1.0,"TITUS, Alice (Dina)",T000468,1950.0,,-0.296,-0.18,-146.70567,0.86542,1015.0,55.0,1.0
113,House,21151,65,3,NV,200,0.0,1.0,"HECK, Joe",H001055,1961.0,,0.324,0.014,-243.48633,0.786,1013.0,114.0,
113,House,21196,65,2,NV,200,0.0,1.0,"AMODEI, Mark E.",A000369,1958.0,,0.387,0.164,-141.84537,0.86007,941.0,54.0,1.0
113,House,21339,65,4,NV,100,0.0,1.0,"HORSFORD, Steven",H001066,1973.0,,-0.355,0.073,-122.07296,0.869,871.0,50.0,
113,House,20731,4,1,NH,100,0.0,1.0,"SHEA-PORTER, Carol",S001170,1952.0,,-0.316,-0.102,-145.84158,0.86277,988.0,57.0,1.0
113,House,21340,4,2,NH,100,0.0,1.0,"KUSTER, Ann McLane",K000382,1956.0,,-0.259,-0.133,-149.67695,0.86264,1013.0,63.0,1.0
113,House,14863,12,4,NJ,200,0.0,1.0,"SMITH, Christopher Henry",S000522,1953.0,,0.159,-0.175,-213.42949,0.80746,998.0,72.0,1.0
113,House,15454,12,6,NJ,100,0.0,1.0,"PALLONE, Frank, Jr.",P000034,1951.0,,-0.398,-0.168,-113.85043,0.8865,945.0,68.0,1.0
113,House,20336,12,5,NJ,200,0.0,1.0,"GARRETT, Scott",G000548,1959.0,,0.688,-0.243,-168.38179,0.847,1012.0,72.0,
113,House,20542,12,8,NJ,100,0.0,1.0,"SIRES, Albio",S001165,1951.0,,-0.398,0.086,-131.24797,0.87172,956.0,64.0,1.0
113,House,20929,12,7,NJ,200,0.0,1.0,"LANCE, Leonard",L000567,1952.0,,0.342,-0.222,-219.05521,0.8069,1021.0,110.0,1.0
113,House,21153,12,3,NJ,200,0.0,1.0,"RUNYAN, Jon",R000594,1973.0,,0.222,0.089,-160.80751,0.846,963.0,61.0,
